Age,Gender,Education_Level,Job_Title,Years_of_Experience,Salary
32,Female,Master's Degree,Senior Human Resources Manager,6," 80,000 "
45,Male,PhD,Director of HR,14," 1,40,000 "
26,Female,Bachelor's Degree,Junior Web Developer,2," 45,000 "
38,Male,Master's Degree,Senior HR Generalist,8," 95,000 "
27,Female,High School,Junior HR Generalist,1," 32,000 "
33,Male,Bachelor's Degree,Web Developer,5," 70,000 "
42,Female,Master's Degree,Director of HR,12," 1,20,000 "
29,Male,Master's Degree,Senior Human Resources Manager,4," 70,000 "
36,Female,Master's Degree,Web Developer,7," 85,000 "
30,Male,High School,Junior HR Coordinator,2," 33,000 "
43,Female,PhD,Senior Human Resources Manager,15," 1,50,000 "
34,Male,Bachelor's Degree,Junior Web Developer,3," 50,000 "
25,Female,Master's Degree,Junior HR Generalist,1," 32,000 "
37,Male,PhD,Director of HR,11," 1,15,000 "
24,Female,Bachelor's Degree,Web Developer,1," 40,000 "
39,Male,Master's Degree,Senior HR Generalist,10," 1,05,000 "
31,Male,High School,Junior HR Generalist,2," 35,000 "
44,Female,PhD,Director of HR,13," 1,35,000 "
28,Male,Bachelor's Degree,Web Developer,4," 65,000 "
32,Female,Master's Degree,Senior Human Resources Manager,6," 80,000 "
45,Male,PhD,Director of HR,14," 1,40,000 "
26,Female,Bachelor's Degree,Junior Web Developer,2," 45,000 "
38,Male,Master's Degree,Senior HR Generalist,8," 95,000 "
27,Female,High School,Junior HR Generalist,1," 32,000 "
33,Male,Bachelor's Degree,Web Developer,5," 70,000 "
42,Female,Master's Degree,Director of HR,12," 1,20,000 "
29,Male,Master's Degree,Senior Human Resources Manager,4," 70,000 "
36,Female,Master's Degree,Web Developer,7," 85,000 "
30,Male,High School,Junior HR Coordinator,2," 33,000 "
43,Female,PhD,Senior Human Resources Manager,15," 1,50,000 "
34,Male,Bachelor's Degree,Junior Web Developer,3," 50,000 "
25,Female,Master's Degree,Junior HR Generalist,1," 32,000 "
37,Male,PhD,Director of HR,11," 1,15,000 "
24,Female,Bachelor's Degree,Web Developer,1," 40,000 "
39,Male,Master's Degree,Senior HR Generalist,10," 1,05,000 "
31,Male,High School,Junior HR Generalist,2," 35,000 "
44,Female,PhD,Director of HR,13," 1,35,000 "
28,Male,Bachelor's Degree,Web Developer,4," 65,000 "
32,Female,Master's Degree,Senior Human Resources Manager,6," 80,000 "
45,Male,PhD,Director of HR,14," 1,40,000 "
26,Female,Bachelor's Degree,Junior Web Developer,2," 45,000 "
38,Male,Master's Degree,Senior HR Generalist,8," 95,000 "
27,Female,High School,Junior HR Generalist,1," 32,000 "
33,Male,Bachelor's Degree,Web Developer,5," 70,000 "
42,Female,Master's Degree,Director of HR,12," 1,20,000 "
29,Male,Master's Degree,Senior Human Resources Manager,4," 70,000 "
36,Female,Master's Degree,Web Developer,7," 85,000 "
30,Male,High School,Junior HR Coordinator,2," 33,000 "
43,Female,PhD,Senior Human Resources Manager,15," 1,50,000 "
34,Male,Bachelor's Degree,Junior Web Developer,3," 50,000 "
25,Female,Master's Degree,Junior HR Generalist,1," 32,000 "
37,Male,PhD,Director of HR,11," 1,15,000 "
28,Male,Bachelor's Degree,Software Engineer,3," 60,000 "
37,Female,Master's Degree,Marketing Manager,9," 1,00,000 "
43,Male,PhD,Data Scientist,15," 1,50,000 "
31,Female,Bachelor's Degree,Human Resources Coordinator,4," 55,000 "
24,Male,High School,Junior Sales Associate,1," 30,000 "
29,Female,Master's Degree,Software Developer,5," 70,000 "
35,Male,Bachelor's Degree,Operations Manager,8," 90,000 "
26,Female,Master's Degree,Marketing Coordinator,2," 40,000 "
42,Male,PhD,Data Scientist,12," 1,30,000 "
34,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
27,Male,High School,Junior Sales Associate,2," 35,000 "
38,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
30,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
45,Male,PhD,Data Scientist,18," 1,80,000 "
25,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
40,Female,Master's Degree,Human Resources Manager,11," 1,20,000 "
33,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
29,Female,High School,Junior Sales Associate,1," 30,000 "
44,Male,PhD,Data Scientist,16," 1,60,000 "
26,Male,Bachelor's Degree,Software Developer,3," 60,000 "
36,Female,Master's Degree,Marketing Coordinator,8," 85,000 "
31,Male,Bachelor's Degree,Operations Manager,5," 70,000 "
27,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
42,Male,PhD,Data Scientist,13," 1,40,000 "
34,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
28,Male,High School,Junior Sales Associate,2," 35,000 "
39,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
31,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
45,Male,PhD,Data Scientist,18," 1,80,000 "
25,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
40,Female,Master's Degree,Human Resources Manager,11," 1,20,000 "
33,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
29,Female,High School,Junior Sales Associate,1," 30,000 "
44,Male,PhD,Data Scientist,16," 1,60,000 "
26,Male,Bachelor's Degree,Software Developer,3," 60,000 "
36,Female,Master's Degree,Marketing Coordinator,8," 85,000 "
31,Male,Bachelor's Degree,Operations Manager,5," 70,000 "
27,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
42,Male,PhD,Data Scientist,13," 1,40,000 "
34,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
28,Male,High School,Junior Sales Associate,2," 35,000 "
39,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
31,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
45,Male,PhD,Data Scientist,18," 1,80,000 "
25,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
40,Female,Master's Degree,Human Resources Manager,11," 1,20,000 "
33,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
29,Female,High School,Junior Sales Associate,1," 30,000 "
44,Male,PhD,Data Scientist,16," 1,60,000 "
26,Male,Bachelor's Degree,Software Developer,3," 60,000 "
36,Female,Master's Degree,Marketing Coordinator,8," 85,000 "
31,Male,Bachelor's Degree,Operations Manager,5," 70,000 "
27,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
42,Male,PhD,Data Scientist,13," 1,40,000 "
34,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
28,Male,High School,Junior Sales Associate,2," 35,000 "
39,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
31,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
45,Male,PhD,Data Scientist,18," 1,80,000 "
25,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
40,Female,Master's Degree,Human Resources Manager,11," 1,20,000 "
33,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
29,Female,High School,Junior Sales Associate,1," 30,000 "
44,Male,PhD,Data Scientist,16," 1,60,000 "
26,Male,Bachelor's Degree,Software Developer,3," 60,000 "
36,Female,Master's Degree,Marketing Coordinator,8," 85,000 "
31,Male,Bachelor's Degree,Operations Manager,5," 70,000 "
27,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
42,Male,PhD,Data Scientist,13," 1,40,000 "
34,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
28,Male,High School,Junior Sales Associate,2," 35,000 "
39,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
31,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
45,Male,PhD,Data Scientist,18," 1,80,000 "
25,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
40,Female,Master's Degree,Human Resources Manager,11," 1,20,000 "
33,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
29,Female,High School,Junior Sales Associate,1," 30,000 "
44,Male,PhD,Data Scientist,16," 1,60,000 "
26,Male,Bachelor's Degree,Software Developer,3," 60,000 "
36,Female,Master's Degree,Marketing Coordinator,8," 85,000 "
31,Male,Bachelor's Degree,Operations Manager,5," 70,000 "
27,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
42,Male,PhD,Data Scientist,13," 1,40,000 "
34,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
28,Male,High School,Junior Sales Associate,2," 35,000 "
39,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
31,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
45,Male,PhD,Data Scientist,18," 1,80,000 "
25,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
40,Female,Master's Degree,Human Resources Manager,11," 1,20,000 "
33,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
29,Female,High School,Junior Sales Associate,1," 30,000 "
44,Male,PhD,Data Scientist,16," 1,60,000 "
26,Male,Bachelor's Degree,Software Developer,3," 60,000 "
36,Female,Master's Degree,Marketing Coordinator,8," 85,000 "
31,Male,Bachelor's Degree,Operations Manager,5," 70,000 "
27,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
42,Male,PhD,Data Scientist,13," 1,40,000 "
34,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
28,Male,High School,Junior Sales Associate,2," 35,000 "
39,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
31,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
45,Male,PhD,Data Scientist,18," 1,80,000 "
25,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
40,Female,Master's Degree,Human Resources Manager,11," 1,20,000 "
33,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
29,Female,High School,Junior Sales Associate,1," 30,000 "
44,Male,PhD,Data Scientist,16," 1,60,000 "
26,Male,Bachelor's Degree,Software Developer,3," 60,000 "
36,Female,Master's Degree,Marketing Coordinator,8," 85,000 "
31,Male,Bachelor's Degree,Operations Manager,5," 70,000 "
27,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
42,Male,PhD,Data Scientist,13," 1,40,000 "
34,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
28,Male,High School,Junior Sales Associate,2," 35,000 "
39,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
31,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
45,Male,PhD,Data Scientist,18," 1,80,000 "
25,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
40,Female,Master's Degree,Human Resources Manager,11," 1,20,000 "
33,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
29,Female,High School,Junior Sales Associate,1," 30,000 "
44,Male,PhD,Data Scientist,16," 1,60,000 "
26,Male,Bachelor's Degree,Software Developer,3," 60,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 60,000 "
38,Female,Master's Degree,Marketing Manager,9," 1,00,000 "
44,Male,PhD,Data Scientist,15," 1,50,000 "
30,Female,Bachelor's Degree,Human Resources Coordinator,4," 55,000 "
23,Male,High School,Junior Sales Associate,1," 30,000 "
28,Female,Master's Degree,Software Developer,5," 70,000 "
34,Male,Bachelor's Degree,Operations Manager,8," 90,000 "
25,Female,Master's Degree,Marketing Coordinator,2," 40,000 "
41,Male,PhD,Data Scientist,12," 1,30,000 "
33,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
26,Male,High School,Junior Sales Associate,2," 35,000 "
37,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
29,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
46,Male,PhD,Data Scientist,18," 1,80,000 "
26,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
39,Female,Master's Degree,Human Resources Manager,11," 1,20,000 "
32,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
28,Female,High School,Junior Sales Associate,1," 30,000 "
43,Male,PhD,Data Scientist,16," 1,60,000 "
27,Male,Bachelor's Degree,Software Developer,3," 60,000 "
35,Female,Master's Degree,Marketing Coordinator,8," 85,000 "
30,Male,Bachelor's Degree,Operations Manager,5," 70,000 "
26,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
41,Male,PhD,Data Scientist,13," 1,40,000 "
33,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
27,Male,High School,Junior Sales Associate,2," 35,000 "
38,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
29,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
46,Male,PhD,Data Scientist,18," 1,80,000 "
26,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
39,Female,Master's Degree,Human Resources Manager,11," 1,20,000 "
32,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
28,Female,High School,Junior Sales Associate,1," 30,000 "
43,Male,PhD,Data Scientist,16," 1,60,000 "
27,Male,Bachelor's Degree,Software Developer,3," 60,000 "
35,Female,Master's Degree,Marketing Coordinator,8," 85,000 "
30,Male,Bachelor's Degree,Operations Manager,5," 70,000 "
26,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
41,Male,PhD,Data Scientist,13," 1,40,000 "
33,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
27,Male,High School,Junior Sales Associate,2," 35,000 "
38,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
29,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
46,Male,PhD,Data Scientist,18," 1,80,000 "
26,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
39,Female,Master's Degree,Human Resources Manager,11," 1,20,000 "
32,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
28,Female,High School,Junior Sales Associate,1," 30,000 "
43,Male,PhD,Data Scientist,16," 1,60,000 "
27,Male,Bachelor's Degree,Software Developer,3," 60,000 "
35,Female,Master's Degree,Marketing Coordinator,8," 85,000 "
30,Male,Bachelor's Degree,Operations Manager,5," 70,000 "
26,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
41,Male,PhD,Data Scientist,13," 1,40,000 "
33,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
27,Male,High School,Junior Sales Associate,2," 35,000 "
38,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
29,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
46,Male,PhD,Data Scientist,18," 1,80,000 "
26,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
39,Female,Master's Degree,Human Resources Manager,11," 1,20,000 "
32,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
28,Female,High School,Junior Sales Associate,1," 30,000 "
43,Male,PhD,Data Scientist,16," 1,60,000 "
27,Male,Bachelor's Degree,Software Developer,3," 60,000 "
35,Female,Master's Degree,Marketing Coordinator,8," 85,000 "
30,Male,Bachelor's Degree,Operations Manager,5," 70,000 "
26,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
41,Male,PhD,Data Scientist,13," 1,40,000 "
33,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
27,Male,High School,Junior Sales Associate,2," 35,000 "
38,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
29,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
46,Male,PhD,Data Scientist,18," 1,80,000 "
26,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
39,Female,Master's Degree,Human Resources Manager,11," 1,20,000 "
32,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
28,Female,High School,Junior Sales Associate,1," 30,000 "
43,Male,PhD,Data Scientist,16," 1,60,000 "
27,Male,Bachelor's Degree,Software Developer,3," 60,000 "
35,Female,Master's Degree,Marketing Coordinator,8," 85,000 "
30,Male,Bachelor's Degree,Operations Manager,5," 70,000 "
26,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
41,Male,PhD,Data Scientist,13," 1,40,000 "
33,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
27,Male,High School,Junior Sales Associate,2," 35,000 "
38,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
29,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
46,Male,PhD,Data Scientist,18," 1,80,000 "
26,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
39,Female,Master's Degree,Human Resources Manager,11," 1,20,000 "
32,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
28,Female,High School,Junior Sales Associate,1," 30,000 "
43,Male,PhD,Data Scientist,16," 1,60,000 "
27,Male,Bachelor's Degree,Software Developer,3," 60,000 "
35,Female,Master's Degree,Marketing Coordinator,8," 85,000 "
30,Male,Bachelor's Degree,Operations Manager,5," 70,000 "
26,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
41,Male,PhD,Data Scientist,13," 1,40,000 "
33,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
27,Male,High School,Junior Sales Associate,2," 35,000 "
38,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
29,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
46,Male,PhD,Data Scientist,18," 1,80,000 "
26,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
39,Female,Master's Degree,Human Resources Manager,11," 1,20,000 "
32,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
28,Female,High School,Junior Sales Associate,1," 30,000 "
43,Male,PhD,Data Scientist,16," 1,60,000 "
27,Male,Bachelor's Degree,Software Developer,3," 60,000 "
35,Female,Master's Degree,Marketing Coordinator,8," 85,000 "
30,Male,Bachelor's Degree,Operations Manager,5," 70,000 "
26,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
41,Male,PhD,Data Scientist,13," 1,40,000 "
33,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
27,Male,High School,Junior Sales Associate,2," 35,000 "
38,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
29,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
46,Male,PhD,Data Scientist,18," 1,80,000 "
26,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
39,Female,Master's Degree,Human Resources Manager,11," 1,20,000 "
32,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
28,Female,High School,Junior Sales Associate,1," 30,000 "
43,Male,PhD,Data Scientist,16," 1,60,000 "
27,Male,Bachelor's Degree,Software Developer,3," 60,000 "
24,Male,Bachelor's Degree,Software Engineer,2," 55,000 "
32,Female,Master's Degree,Marketing Manager,7," 90,000 "
45,Male,PhD,Data Scientist,16," 1,60,000 "
28,Female,Bachelor's Degree,Human Resources Coordinator,4," 60,000 "
22,Male,High School,Junior Sales Associate,1," 25,000 "
29,Female,Master's Degree,Software Developer,5," 70,000 "
36,Male,Bachelor's Degree,Operations Manager,8," 1,00,000 "
27,Female,Bachelor's Degree,Marketing Coordinator,3," 45,000 "
42,Male,PhD,Data Scientist,14," 1,40,000 "
34,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
25,Male,High School,Junior Sales Associate,2," 30,000 "
39,Female,Master's Degree,Marketing Manager,11," 1,20,000 "
30,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
47,Male,PhD,Data Scientist,19," 1,90,000 "
25,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
40,Female,Master's Degree,Human Resources Manager,12," 1,30,000 "
33,Male,Bachelor's Degree,Operations Manager,7," 85,000 "
29,Female,High School,Junior Sales Associate,1," 25,000 "
44,Male,PhD,Data Scientist,15," 1,50,000 "
28,Male,Bachelor's Degree,Software Developer,3," 60,000 "
36,Female,Master's Degree,Marketing Coordinator,9," 1,00,000 "
31,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
27,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
42,Male,PhD,Data Scientist,14," 1,40,000 "
34,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
26,Male,High School,Junior Sales Associate,2," 30,000 "
39,Female,Master's Degree,Marketing Manager,11," 1,20,000 "
30,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
47,Male,PhD,Data Scientist,19," 1,90,000 "
25,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
40,Female,Master's Degree,Human Resources Manager,12," 1,30,000 "
33,Male,Bachelor's Degree,Operations Manager,7," 85,000 "
29,Female,High School,Junior Sales Associate,1," 25,000 "
44,Male,PhD,Data Scientist,15," 1,50,000 "
28,Male,Bachelor's Degree,Software Developer,3," 60,000 "
36,Female,Master's Degree,Marketing Coordinator,9," 1,00,000 "
31,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
27,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
42,Male,PhD,Data Scientist,14," 1,40,000 "
34,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
26,Male,High School,Junior Sales Associate,2," 30,000 "
39,Female,Master's Degree,Marketing Manager,11," 1,20,000 "
30,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
47,Male,PhD,Data Scientist,19," 1,90,000 "
25,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
40,Female,Master's Degree,Human Resources Manager,12," 1,30,000 "
33,Male,Bachelor's Degree,Operations Manager,7," 85,000 "
29,Female,High School,Junior Sales Associate,1," 25,000 "
44,Male,PhD,Data Scientist,15," 1,50,000 "
28,Male,Bachelor's Degree,Software Developer,3," 60,000 "
36,Female,Master's Degree,Marketing Coordinator,9," 1,00,000 "
31,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
27,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
42,Male,PhD,Data Scientist,14," 1,40,000 "
34,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
26,Male,High School,Junior Sales Associate,2," 30,000 "
39,Female,Master's Degree,Marketing Manager,11," 1,20,000 "
30,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
47,Male,PhD,Data Scientist,19," 1,90,000 "
25,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
40,Female,Master's Degree,Human Resources Manager,12," 1,30,000 "
33,Male,Bachelor's Degree,Operations Manager,7," 85,000 "
29,Female,High School,Junior Sales Associate,1," 25,000 "
44,Male,PhD,Data Scientist,15," 1,50,000 "
28,Male,Bachelor's Degree,Software Developer,3," 60,000 "
36,Female,Master's Degree,Marketing Coordinator,9," 1,00,000 "
31,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
27,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
42,Male,PhD,Data Scientist,14," 1,40,000 "
34,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
26,Male,High School,Junior Sales Associate,2," 30,000 "
39,Female,Master's Degree,Marketing Manager,11," 1,20,000 "
30,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
47,Male,PhD,Data Scientist,19," 1,90,000 "
25,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
40,Female,Master's Degree,Human Resources Manager,12," 1,30,000 "
33,Male,Bachelor's Degree,Operations Manager,7," 85,000 "
29,Female,High School,Junior Sales Associate,1," 25,000 "
44,Male,PhD,Data Scientist,15," 1,50,000 "
28,Male,Bachelor's Degree,Software Developer,3," 60,000 "
36,Female,Master's Degree,Marketing Coordinator,9," 1,00,000 "
31,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
27,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
42,Male,PhD,Data Scientist,14," 1,40,000 "
34,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
26,Male,High School,Junior Sales Associate,2," 30,000 "
39,Female,Master's Degree,Marketing Manager,11," 1,20,000 "
30,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
47,Male,PhD,Data Scientist,19," 1,90,000 "
25,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
40,Female,Master's Degree,Human Resources Manager,12," 1,30,000 "
33,Male,Bachelor's Degree,Operations Manager,7," 85,000 "
29,Female,High School,Junior Sales Associate,1," 25,000 "
44,Male,PhD,Data Scientist,15," 1,50,000 "
28,Male,Bachelor's Degree,Software Developer,3," 60,000 "
36,Female,Master's Degree,Marketing Coordinator,9," 1,00,000 "
31,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
27,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
42,Male,PhD,Data Scientist,14," 1,40,000 "
34,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
26,Male,High School,Junior Sales Associate,2," 30,000 "
39,Female,Master's Degree,Marketing Manager,11," 1,20,000 "
30,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
47,Male,PhD,Data Scientist,19," 1,90,000 "
25,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
40,Female,Master's Degree,Human Resources Manager,12," 1,30,000 "
33,Male,Bachelor's Degree,Operations Manager,7," 85,000 "
29,Female,High School,Junior Sales Associate,1," 25,000 "
44,Male,PhD,Data Scientist,15," 1,50,000 "
28,Male,Bachelor's Degree,Software Developer,3," 60,000 "
36,Female,Master's Degree,Marketing Coordinator,9," 1,00,000 "
31,Male,Bachelor's Degree,Operations Manager,6," 75,000 "
27,Female,Master's Degree,Human Resources Coordinator,3," 50,000 "
42,Male,PhD,Data Scientist,14," 1,40,000 "
34,Female,Bachelor's Degree,Human Resources Manager,6," 75,000 "
26,Male,High School,Junior Sales Associate,2," 30,000 "
39,Female,Master's Degree,Marketing Manager,11," 1,20,000 "
30,Male,Bachelor's Degree,Software Engineer,4," 65,000 "
47,Male,PhD,Data Scientist,19," 1,90,000 "
25,Female,Bachelor's Degree,Junior Software Developer,1," 35,000 "
40,Female,Master's Degree,Human Resources Manager,12," 1,30,000 "
33,Male,Bachelor's Degree,Operations Manager,7," 85,000 "
29,Female,High School,Junior Sales Associate,1," 25,000 "
44,Male,PhD,Data Scientist,15," 1,50,000 "
28,Male,Bachelor's Degree,Software Developer,3," 60,000 "
31,Male,Bachelor's Degree,Software Engineer,5," 80,000 "
27,Female,Master's Degree,Marketing Manager,3," 60,000 "
38,Male,PhD,Data Scientist,12," 1,30,000 "
29,Female,Bachelor's Degree,Human Resources Coordinator,2," 45,000 "
23,Male,High School,Junior Sales Associate,1," 25,000 "
32,Female,Master's Degree,Software Developer,7," 90,000 "
44,Male,Bachelor's Degree,Operations Manager,18," 1,70,000 "
26,Female,Bachelor's Degree,Marketing Coordinator,2," 40,000 "
40,Male,PhD,Data Scientist,15," 1,50,000 "
33,Female,Bachelor's Degree,Human Resources Manager,8," 95,000 "
24,Male,High School,Junior Sales Associate,1," 25,000 "
35,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
29,Male,Bachelor's Degree,Software Engineer,4," 70,000 "
49,Male,PhD,Data Scientist,22," 2,20,000 "
26,Female,Bachelor's Degree,Junior Software Developer,2," 35,000 "
41,Female,Master's Degree,Human Resources Manager,13," 1,40,000 "
36,Male,Bachelor's Degree,Operations Manager,9," 1,10,000 "
28,Female,High School,Junior Sales Associate,1," 25,000 "
43,Male,PhD,Data Scientist,16," 1,60,000 "
29,Male,Bachelor's Degree,Software Developer,5," 80,000 "
39,Female,Master's Degree,Marketing Coordinator,11," 1,20,000 "
32,Male,Bachelor's Degree,Operations Manager,6," 90,000 "
28,Female,Master's Degree,Human Resources Coordinator,2," 45,000 "
40,Male,PhD,Data Scientist,15," 1,50,000 "
33,Female,Bachelor's Degree,Human Resources Manager,8," 95,000 "
24,Male,High School,Junior Sales Associate,1," 25,000 "
35,Female,Master's Degree,Marketing Manager,10," 1,10,000 "
29,Male,Bachelor's Degree,Software Engineer,4," 70,000 "
49,Male,PhD,Data Scientist,22," 2,20,000 "
26,Female,Bachelor's Degree,Junior Software Developer,2," 35,000 "
41,Female,Master's Degree,Human Resources Manager,13," 1,40,000 "
36,Male,Bachelor's Degree,Operations Manager,9," 1,10,000 "
28,Female,High School,Junior Sales Associate,1," 25,000 "
43,Male,PhD,Data Scientist,16," 1,60,000 "
29,Male,Bachelor's Degree,Software Developer,5," 80,000 "
39,Female,Master's Degree,Marketing Coordinator,11," 1,20,000 "
32,Male,Bachelor's Degree,Operations Manager,6," 90,000 "
28,Female,Master's Degree,Human Resources Coordinator,2," 45,000 "
